farm_id,sale_order_id,product_id,quantity,price,user_id,total_item_price,time_of_sale,product_sku,product_type,unit_of_measurement,product_price,product_description_en,product_name_en,user_enc,product_enc
d4dc9c06-177e-494c-ba72-7e2954ce8ced,3ddca641-cb59-4a27-8698-cb16ff2932f2,80957603-6cec-4f63-8dcd-aba6ded5cbdd,200.0,326000.0,13f5223e-f04a-4fa8-9ef2-cf36060f0d6d,90200000.0,1744078798583,101110501601,GOODS,kg,712500.0,"MOP/KCL fertilizer to improve the quality and quantity of fruit.Description of MOP/KCL Crown fertilizer contains potassium (K2O) of at least 60% and is useful to help increase yields and harvest quality.This fertilizer also optimizes the absorption of other nutrients and increases plant resilience to pests and diseases.The use of KCL is very important for annual plants that require high potassium.The benefits of potassium oxide fertilizer (K2O) increase the growth and yield of plants by supplying potassium which is important for the durability of plants to stress, as well as supporting the formation of fruit, flowers, and tubers.This fertilizer also improves the quality of crop yields and the efficiency of water use and nutrition, making it beneficial for plants that require high potassium, such as rice, corn, and horticultural plants.Content and specifications of potassium oxide 60% shape / color: crystal / dominant red product tested lab?Yes",MOP/KCL Canada Cap Mahkota 50kg,8,16
7eefa7db-26bf-4a8b-b207-f44a52ed0aba,3ddca641-cb59-4a27-8698-cb16ff2932f2,b53ce31c-3789-42d7-96a0-5fe058cac7a5,200.0,125000.0,13f5223e-f04a-4fa8-9ef2-cf36060f0d6d,90200000.0,1744078798583,101110502101,GOODS,kg,352688.0,"Rock Phosphate (RP) is one of the best sources of phosphate in the world that is processed efficiently without chemical processes.Description of RP Egyptian fertilizer is fertilizer that is processed from raw materials of excavation containing calcium phosphate minerals, which originate from rocks that are processed into powder (powder) for use directly in agriculture.This fertilizer can be applied in the form of powder, granules, or granular.The benefits of providing natural phosphorus that are needed by plants, support the development of roots and stems, improve the quality of the roots and stems of plants, improve the ability of plants to absorb water and nutrients, and protect plants from pest attacks.Content and specifications of the pentoxide phosphorus 26-28% of the product tested lab?Yes",Rp. 50kg crown - Egypt,8,26
e9b32dc3-4e0f-4a69-bb3d-c7f11277f97f,787bc8b7-e679-4772-be5d-af4afac9adf5,5952d124-7dc6-4a6a-baa2-e2e502ecd6fe,1.0,109000.0,1e75f22f-b609-4ebc-9536-4a26aef73302,109000.0,1744182202966,TUP/PLN/100,DIGITAL,,109000.0,"Topup PLN 100,000 Topup PLN 100,000","Token PLN 100,000",10,11
86a41dec-9936-4c8f-9150-e8b367a4959f,4d47dd32-1618-4376-a846-66bcf065e173,0bd2430a-6613-442a-9d5a-11d64cb095ae,1.0,65000.0,344963f8-9a3a-4de3-b3a9-c8716fa37c0e,65000.0,1742438712361,MERCH-SAWITPRO-SHIRT-02,GOODS,kg,100000.0,"The white collared shirt that reads ""Sibrondol Sawitpro"".All-size size (xl)",T -shirt Sibrondol Sawitpro Size XL,14,0
61cf5f3f-2a24-4080-bc4f-50af3506479d,e5819416-6b56-4337-9271-dc2c701ac7bd,80957603-6cec-4f63-8dcd-aba6ded5cbdd,2.0,588484.375,49ad56f8-8d32-408f-9f88-36cad5310680,1377500.0,1744874598061,101110501601,GOODS,kg,712500.0,"MOP/KCL fertilizer to improve the quality and quantity of fruit.Description of MOP/KCL Crown fertilizer contains potassium (K2O) of at least 60% and is useful to help improve yields and harvest quality.This fertilizer also optimizes the absorption of other nutrients and increases plant resilience to pests and diseases.The use of KCL is very important for annual plants that require high potassium.The benefits of potassium oxide fertilizer (K2O) increase the growth and yield of plants by supplying potassium which is important for the durability of plants to stress, and support the formation of fruit, flowers, and tubers.This fertilizer also improves the quality of crop yields and the efficiency of water use and nutrition, making it beneficial for plants that require high potassium, such as rice, corn, and horticultural plants.Content and specifications of potassium oxide 60% shape / color: crystal / dominant red product tested lab?Yes",MOP/KCL Canada Cap Mahkota 50kg,23,16
1f3f0ae1-f790-4ca1-9775-d28a1917770f,0e0144d2-f9a7-49b4-bc35-f6791eceb56b,4698d965-a133-4701-838b-f60e38c66b39,100.0,302500.0,468556ca-994d-40aa-9c44-859d8e445a57,30250000.0,1742295827727,101210600102,GOODS,kg,1399999.0,"Description of SawitPro fertilizer is organic fertilizer that can help oil palm farmers improve crops and fruit quality.This fertilizer is equipped with microorganisms developed by leading biologists in Indonesia.Microorganisms can be used to help the decomposition of nutrients and accelerates from nutrient absorption in plants.Janjang ash is an organic fertilizer with a high K₂O content, around 35%-45%, which is quickly absorbed by plants because it only contains potassium elements.For application, the recommended dose is 1.5 kg per plant.If used with Sawitpro fertilizer, the dosage recommendation is 1 kg of ash janjang and 0.5 kg of palm oil per plant.The benefits of Sawitpro fertilizer provide a variety of important benefits, including increasing the availability of nutrients (nitrogen, phosphate, and potassium), as well as helping the overhaul of organic matter (decomposition) and mineralization of organic elements.This fertilizer also triggers plant growth, protects roots from pathogenic microbes, increases the efficiency of absorption from other fertilizers (Rp, urea, etc.), and saves fertilization costs by up to 50%.In addition, Sawitpro fertilizer increases plant resistance to disease attacks and maintains soil fertility for sustainable agriculture.Abu Janjang increases the availability of potassium (K), stimulates fruit growth, accelerates the decomposition of organic matter, and saves fertilization costs.In addition, this product strengthens the endurance of plants against disease and supports soil fertility for sustainable agriculture.Content and specifications of 50kg palm fertilizer: nitrogen 0.1-1% nitrogen phosphorus pentoxide 3-5% potassium oxide 17-25% bacterial binding nitrogen trichoderma microorganisms: rhizobium sp (nitrogen bacterial bacteria in root legume) Azotobacter sp (antibiotics and auxin enzymes) Bacillus sp (against pathogens and encouraging growth) Azospirillum sp (encouraging growth) Pseudomonas sp (growth regulator) Trichoderma sp (biological control substances against fungal attacks, especially ganoderma) 40kg ashYes",Sawitpro fertilizer 50kg + ash janjang 40kg,22,6
4ebafa85-bc91-4685-9775-3cc06be3f4b6,a1688ca7-4123-4d2a-8ef4-44a0be1580a1,6c27fc9c-e7e9-4e9b-9017-292175250df1,90.0,219125.0,41bec98e-b466-496b-acf2-e993389ac42b,19721250.0,1742714745447,101110603901,GOODS,kg,441142.0,"Increase growth with zinc 2000ppm and sulfur 9%.Description of NPK compound fertilizer enriched with sulfur and zinc elements is designed to improve the efficiency and effectiveness of fertilization.The sulfur and zinc content supports plant metabolic processes so that it not only increases the amount of crops, but also its quality, making plants healthier and more productive.Form / color: granules / white The benefits of this fertilizer support plant growth, increase yield, and quality of plants by strengthening metabolism, cell division, and the formation of enzymes and vitamins.In addition, it also stimulates the growth of roots and leaves and increases plant immunity.Nitrogen content and specifications of 15% Pentoxide phosphorus 15% potassium 15% sulfur 9% zinc 0.2% tested product lab?Yes",NPK Phonska Plus 15-15-15 25kg,18,12
60978d0a-d163-4f86-b62d-9879e4310e55,578cf611-f058-4aba-8520-e5d665629acc,b53ce31c-3789-42d7-96a0-5fe058cac7a5,1.0,154000.0,ec22c8d8-8647-4c0d-8ace-63be2bbe57a0,154000.0,1743854071614,101110502101,GOODS,kg,352688.0,"Rock Phosphate (RP) is one of the best sources of phosphate in the world that is processed efficiently without chemical processes.Description of RP Egyptian fertilizer is fertilizer that is processed from raw materials of excavation containing calcium phosphate minerals, which originate from rocks that are processed into powder (powder) for use directly in agriculture.This fertilizer can be applied in the form of powder, granules, or granular.The benefits of providing natural phosphorus that are needed by plants, support the development of roots and stems, improve the quality of the roots and stems of plants, improve the ability of plants to absorb water and nutrients, and protect plants from pest attacks.Content and specifications of the pentoxide phosphorus 26-28% of the product tested lab?Yes",Rp. 50kg crown - Egypt,69,26
5648a5d8-912a-4dc3-a660-a6b914d72cbb,f4e69664-e304-4842-b31c-1f1aaf4b0f15,b53ce31c-3789-42d7-96a0-5fe058cac7a5,7.0,141250.0,d27f2ad2-07c5-4b9f-a40b-26d324547947,988750.0,1743834154255,101110502101,GOODS,kg,352688.0,"Rock Phosphate (RP) is one of the best sources of phosphate in the world that is processed efficiently without chemical processes.Description of RP Egyptian fertilizer is fertilizer that is processed from raw materials of excavation containing calcium phosphate minerals, which originate from rocks that are processed into powder (powder) for use directly in agriculture.This fertilizer can be applied in the form of powder, granules, or granular.The benefits of providing natural phosphorus that are needed by plants, support the development of roots and stems, improve the quality of the roots and stems of plants, improve the ability of plants to absorb water and nutrients, and protect plants from pest attacks.Content and specifications of the pentoxide phosphorus 26-28% of the product tested lab?Yes",Rp. 50kg crown - Egypt,59,26
23613597-9595-435c-9a30-9cddd993c7ca,0cfe6a21-74db-45a9-ae87-b39cc733173c,c7768e6d-d8d9-469f-960d-879b5401d83c,1.0,210000.0,8c89bfd1-64bf-484a-9860-bab339f48261,210000.0,1744432324868,TUP/PLN/200,DIGITAL,,210000.0,"Topup PLN 200,000 Topup PLN 200,000","Token PLN 200,000",37,32
